ID,AOUCode,TSN,CommonName,ScientificName,Family
,EATO,179276,"rufous-sided towhee, eastern towhee",Pipilo erythrophthalmus,Emberizidae
,LARB,179312,lark bunting,Calamospiza melanocorys,Emberizidae
,SAVS,179314,savannah sparrow,Passerculus sandwichensis,Emberizidae
,GRSP,179333,grasshopper sparrow,Ammodramus savannarum,Emberizidae
,HESP,179340,henslow's sparrow,Ammodramus henslowii,Emberizidae
,VESP,179366,vesper sparrow,Pooecetes gramineus,Emberizidae
,LASP,179371,lark sparrow,Chondestes grammacus,Emberizidae
,DEJU,179410,Darl-eyed Junco,Junco hyemalis,Emberizidae
,CHSP,179435,chipping sparrow,Spizella passerina,Emberizidae
,CCSP,179439,clay-colored sparrow,Spizella pallida,Emberizidae
,FISP,179443,field sparrow,Spizella pusilla,Emberizidae
,WCSP,179455,white-crowned sparrow,Zonotrichia leucophrys,Emberizidae
,WTSP,179462,white-throated sparrow,Zonotrichia albicollis,Emberizidae
,LISP,179484,lincoln's sparrow,Melospiza lincolnii,Emberizidae
,SWSP,179488,swamp sparrow,Melospiza georgiana,Emberizidae
,SOSP,179492,song sparrow,Melospiza melodia,Emberizidae
,LALO,179526,lapland Longspur,Calcarius lapponicus,Calcariidae
,HOSP,179628,house sparrow,Passer domesticus,Passeridae
,EUST,179637,european starling,Sturnus vulgaris,Sturnidae
,BLJA,179680,blue jay,Cyanocitta cristata,Corvidae
,AMCR,179731,american crow,Corvus brachyrhynchos,Corvidae
,FICR,179737,fish crow,Corvus ossifragus,Corvidae
,AMRO,179759,american robin,Turdus migratorius,Turdidae
,WOTH,179777,wood thrush,Hylocichla mustelina,Turdidae
,HETH,179779,hermit thrush,Catharus guttatus,Turdidae
,SWTH,179788,swainson's thrush,Catharus ustulatus,Turdidae
,VEER,179796,veery,Catharus fuscescens,Turdidae
,EABL,179801,eastern bluebird,Sialia sialis,Turdidae
,BGGN,179853,blue-gray gnatcatcher,Polioptila caerulea,Polioptilidae
,GCKI,179865,golden-crowned kinglet,Regulus satrapa,Regulidae
,RCKI,179870,ruby-crowned kinglet,Regulus calendula,Regulidae
,SCTA,179883,scarlet tanager,Piranga olivacea,Cardinalidae
,SUTA,179888,summer tanager,Piranga rubra,Cardinalidae
,GREG,554135,great egret,Ardea alba,Ardeidae
,TUTI,554138,tufted titmouse,Baeolophus bicolor,Paridae
,OSFL,554221,olive-sided flycatcher,Contopus cooperi,Tyrannidae
