ParkUnit,Plot,EventDate,VegType,CovClass,MidpointValue,Range
Agate Fossil Beds,AGFO26,Jun  8 2006,Upland Prairie,1,0.5,trace - 1%
Agate Fossil Beds,AGFO26,Jun  8 2006,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO26,Jun  9 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO26,Jun  9 2004,Western Wheatgrass,5,62.5,50 - 75%
Agate Fossil Beds,AGFO26,Jun  9 2004,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO26,May  7 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO26,May  7 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO27,Jun  5 2003,Stream,5,62.5,50 - 75%
Agate Fossil Beds,AGFO27,Jun  5 2003,Wetland,7,97.5,95 - 100%
Agate Fossil Beds,AGFO27,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO27,Jun  8 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO27,Jun  8 2006,Riparian Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO27,Jun  8 2006,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO27,Jun  8 2006,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO27,Jun  9 2004,Stream,5,62.5,50 - 75%
Agate Fossil Beds,AGFO27,Jun  9 2004,Wetland,7,97.5,95 - 100%
Agate Fossil Beds,AGFO27,May  9 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO27,May  9 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO28,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO28,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO28,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO28,Jun  8 2005,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO28,Jun  8 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO28,Jun  8 2006,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO28,Jun  8 2006,Upland Prairie,1,0.5,trace - 1%
Agate Fossil Beds,AGFO28,Jun  8 2006,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO28,Jun  9 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO28,Jun  9 2004,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO28,May  9 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO28,May  9 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO29,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO29,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO29,Jun  8 2005,Disturbed Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO29,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO29,Jun  8 2005,Upland Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO29,Jun  8 2005,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO29,Jun  8 2006,Riparian Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO29,Jun  8 2006,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO29,Jun  8 2006,Upland Prairie,1,0.5,trace - 1%
Agate Fossil Beds,AGFO29,Jun  8 2006,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO29,Jun  9 2004,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO29,Jun  9 2004,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO29,May  7 2001,Intermittent Water Cover,4,37.5,25 - 50%
Agate Fossil Beds,AGFO29,May  7 2001,Wetland,4,37.5,25 - 50%
Agate Fossil Beds,AGFO3,Jun  5 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO3,Jun  7 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO3,Jun  7 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO3,Jun  8 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO30,Jun  5 2003,Stream,4,37.5,25 - 50%
Agate Fossil Beds,AGFO30,Jun  5 2003,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO30,Jun  8 2005,Disturbed Floodplain,4,37.5,25 - 50%
Agate Fossil Beds,AGFO30,Jun  8 2005,Riparian Woodland,1,0.5,trace - 1%
Agate Fossil Beds,AGFO30,Jun  8 2005,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO30,Jun  8 2005,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO30,Jun  8 2006,Riparian Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO30,Jun  8 2006,Stream,3,15,5 - 25%
Agate Fossil Beds,AGFO30,Jun  8 2006,Upland Prairie,4,37.5,25 - 50%
Agate Fossil Beds,AGFO30,Jun  8 2006,Wetland,3,15,5 - 25%
Agate Fossil Beds,AGFO30,Jun  9 2004,Stream,2,3,1 - 5%
Agate Fossil Beds,AGFO30,Jun  9 2004,Wetland,6,85,75 - 95%
Agate Fossil Beds,AGFO30,May  9 2001,Intermittent Water Cover,3,15,5 - 25%
Agate Fossil Beds,AGFO30,May  9 2001,Wetland,5,62.5,50 - 75%
Agate Fossil Beds,AGFO31,Jun  6 2003,Paved Road,3,15,5 - 25%
Agate Fossil Beds,AGFO31,Jun  6 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO31,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO31,Jun  6 2006,Paved Road,3,15,5 - 25%
Agate Fossil Beds,AGFO31,Jun  6 2006,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO31,Jun  8 2004,Paved Road,2,3,1 - 5%
Agate Fossil Beds,AGFO31,Jun  8 2004,Upland Prairie,6,85,75 - 95%
Agate Fossil Beds,AGFO32,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO32,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO32,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO32,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO33,Jun  4 2003,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO33,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO33,Jun  6 2006,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO33,Jun  8 2004,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO34,Jun  6 2003,Disturbed Prairie,5,62.5,50 - 75%
Agate Fossil Beds,AGFO34,Jun  6 2003,Paved Road,3,15,5 - 25%
Agate Fossil Beds,AGFO34,Jun  6 2005,Upland Prairie,7,97.5,95 - 100%
Agate Fossil Beds,AGFO34,Jun  6 2006,Pasture Road,2,3,1 - 5%
