TSN,hierarchy_string,LandbirdTsn,LandbirdSname
179680,202423-914154-914156-158852-331030-914179-914181-174371-178265-179665-179679-179680,179680,Cyanocitta cristata
179731,202423-914154-914156-158852-331030-914179-914181-174371-178265-179665-179724-179731,179731,Corvus brachyrhynchos
179737,202423-914154-914156-158852-331030-914179-914181-174371-178265-179665-179724-179737,179737,Corvus ossifragus
179759,202423-914154-914156-158852-331030-914179-914181-174371-178265-179751-179752-179759,179759,Turdus migratorius
179777,202423-914154-914156-158852-331030-914179-914181-174371-178265-179751-179776-179777,179777,Hylocichla mustelina
179779,202423-914154-914156-158852-331030-914179-914181-174371-178265-179751-179778-179779,179779,Catharus guttatus
179788,202423-914154-914156-158852-331030-914179-914181-174371-178265-179751-179778-179788,179788,Catharus ustulatus
179796,202423-914154-914156-158852-331030-914179-914181-174371-178265-179751-179778-179796,179796,Catharus fuscescens
179801,202423-914154-914156-158852-331030-914179-914181-174371-178265-179751-179800-179801,179801,Sialia sialis
950040,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950040,950040,Setophaga pensylvanica
950041,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950041,950041,Setophaga striata
950042,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950042,950042,Setophaga caerulescens
950043,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950043,950043,Setophaga palmarum
950045,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950045,950045,Setophaga pinus
950046,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950046,950046,Setophaga coronata
950049,202423-914154-914156-158852-331030-914179-914181-174371-178265-178842-178978-950049,950049,Setophaga dominica
