ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyHeight
Effigy Mounds,EFMO12,0,May 25 2017,Total,31
Effigy Mounds,EFMO12,1,Jun  1 2009,Hardwood,15.3
Effigy Mounds,EFMO12,1,May 26 2022,Hardwood,27.3
Effigy Mounds,EFMO12,1,May 31 2013,Hardwood,18
Effigy Mounds,EFMO13,1,Jun  1 2009,Hardwood,8.9
Effigy Mounds,EFMO14,1,May 31 2009,Hardwood,14.5
Effigy Mounds,EFMO15,0,May 24 2017,Hardwood,3.25
Effigy Mounds,EFMO15,0,May 24 2017,Total,3.25
Effigy Mounds,EFMO15,1,May 24 2022,Hardwood,39.8
Effigy Mounds,EFMO15,1,May 29 2009,Hardwood,32.2
Effigy Mounds,EFMO16,0,May 24 2017,Hardwood,31
Effigy Mounds,EFMO16,0,May 24 2017,Total,31
Effigy Mounds,EFMO16,1,May 23 2022,Hardwood,29.8
Effigy Mounds,EFMO16,1,May 29 2009,Hardwood,28.2
Effigy Mounds,EFMO16,1,May 30 2013,Hardwood,30
Effigy Mounds,EFMO17,0,May 24 2017,Hardwood,22
Effigy Mounds,EFMO17,0,May 24 2017,Total,22
Effigy Mounds,EFMO17,1,May 25 2022,Hardwood,28
Effigy Mounds,EFMO17,1,May 29 2009,Hardwood,32.4
Effigy Mounds,EFMO17,1,May 30 2013,Hardwood,28
Effigy Mounds,EFMO18,0,May 24 2017,Hardwood,30
Effigy Mounds,EFMO18,0,May 24 2017,Total,30
Effigy Mounds,EFMO18,1,May 26 2022,Hardwood,31.2
Effigy Mounds,EFMO18,1,May 31 2009,Hardwood,21.8
Effigy Mounds,EFMO18,1,May 31 2013,Hardwood,26
Effigy Mounds,EFMO19,0,May 24 2017,Hardwood,24
Effigy Mounds,EFMO19,0,May 24 2017,Total,24
Effigy Mounds,EFMO19,1,May 26 2022,Hardwood,24.9
Effigy Mounds,EFMO19,1,May 31 2009,Hardwood,19.9
Effigy Mounds,EFMO2,0,May 24 2017,Hardwood,26.5
Effigy Mounds,EFMO2,0,May 24 2017,Total,26.5
Effigy Mounds,EFMO2,1,May 25 2022,Hardwood,29.5
Effigy Mounds,EFMO2,1,May 29 2009,Hardwood,34.6
Effigy Mounds,EFMO2,1,May 29 2013,Hardwood,18
Effigy Mounds,EFMO22,0,May 24 2017,Hardwood,20
Effigy Mounds,EFMO22,0,May 24 2017,Total,20
Effigy Mounds,EFMO22,1,May 31 2009,Hardwood,30.5
Effigy Mounds,EFMO24,0,May 24 2017,Hardwood,30.5
Effigy Mounds,EFMO24,0,May 24 2017,Total,30.5
Effigy Mounds,EFMO24,1,May 25 2022,Hardwood,17.3
Effigy Mounds,EFMO24,1,May 29 2009,Hardwood,21.4
Effigy Mounds,EFMO24,1,May 30 2013,Hardwood,18.5
Effigy Mounds,EFMO25,0,May 24 2017,Hardwood,39.5
Effigy Mounds,EFMO25,0,May 24 2017,Total,39.5
Effigy Mounds,EFMO25,1,May 25 2022,Hardwood,24.5
Effigy Mounds,EFMO25,1,May 29 2009,Hardwood,27.4
Effigy Mounds,EFMO25,1,May 30 2013,Hardwood,23
Effigy Mounds,EFMO26,0,May 24 2017,Hardwood,18
Effigy Mounds,EFMO26,0,May 24 2017,Total,18
Effigy Mounds,EFMO26,1,May 26 2022,Hardwood,30.3
Effigy Mounds,EFMO26,1,May 31 2009,Hardwood,23.2
Effigy Mounds,EFMO26,1,May 31 2013,Hardwood,22
Effigy Mounds,EFMO27,0,May 24 2017,Hardwood,21
Effigy Mounds,EFMO27,0,May 24 2017,Total,21
Effigy Mounds,EFMO27,1,May 26 2022,Hardwood,22.3
Effigy Mounds,EFMO27,1,May 31 2009,Hardwood,10.1
Effigy Mounds,EFMO3,0,May 24 2017,Total,0
Effigy Mounds,EFMO3,1,May 25 2022,Hardwood,18.4
Effigy Mounds,EFMO33,0,May 24 2017,Hardwood,9
Effigy Mounds,EFMO33,0,May 24 2017,Total,9
Effigy Mounds,EFMO33,1,May 26 2022,Hardwood,8.1
Effigy Mounds,EFMO33,1,May 31 2009,Hardwood,21.4
Effigy Mounds,EFMO33,1,May 31 2013,Hardwood,19.75
Effigy Mounds,EFMO34,0,May 24 2017,Hardwood,33
Effigy Mounds,EFMO34,0,May 24 2017,Total,33
Effigy Mounds,EFMO34,1,May 31 2009,Hardwood,29.1
Effigy Mounds,EFMO37,0,May 24 2017,Hardwood,36
Effigy Mounds,EFMO37,0,May 24 2017,Total,36
Effigy Mounds,EFMO37,1,May 26 2022,Hardwood,31.4
Effigy Mounds,EFMO37,1,May 30 2009,Hardwood,31
Effigy Mounds,EFMO38,0,May 25 2017,Hardwood,22.5
Effigy Mounds,EFMO38,0,May 25 2017,Total,22.5
Effigy Mounds,EFMO38,1,May 24 2022,Hardwood,15.9
Effigy Mounds,EFMO38,1,May 30 2009,Hardwood,20.7
Effigy Mounds,EFMO39,0,May 23 2017,Hardwood,22.5
Effigy Mounds,EFMO39,0,May 23 2017,Total,22.5
Effigy Mounds,EFMO39,1,May 26 2022,Hardwood,30.5
Effigy Mounds,EFMO39,1,May 31 2009,Hardwood,29.2
Effigy Mounds,EFMO4,0,May 24 2017,Hardwood,25
Effigy Mounds,EFMO4,0,May 24 2017,Total,25
Effigy Mounds,EFMO4,1,Jun  1 2009,Hardwood,21.8
Effigy Mounds,EFMO4,1,May 26 2022,Hardwood,22.4
Effigy Mounds,EFMO4,1,May 31 2013,Hardwood,27
Effigy Mounds,EFMO40,0,May 23 2017,Hardwood,29
Effigy Mounds,EFMO40,0,May 23 2017,Total,29
Effigy Mounds,EFMO40,1,May 26 2022,Hardwood,29.3
Effigy Mounds,EFMO40,1,May 31 2009,Hardwood,30.6
Effigy Mounds,EFMO41,0,May 25 2017,Hardwood,35.5
Effigy Mounds,EFMO41,0,May 25 2017,Total,35.5
Effigy Mounds,EFMO41,1,May 26 2022,Hardwood,26.8
Effigy Mounds,EFMO41,1,May 30 2009,Hardwood,21.1
Effigy Mounds,EFMO42,0,May 25 2017,Hardwood,20
Effigy Mounds,EFMO42,0,May 25 2017,Total,20
Effigy Mounds,EFMO42,1,Jun  1 2013,Hardwood,26.5
Effigy Mounds,EFMO42,1,May 24 2022,Hardwood,25
Effigy Mounds,EFMO42,1,May 29 2009,Hardwood,29.9
Effigy Mounds,EFMO42,1,May 30 2009,Hardwood,30.7
Effigy Mounds,EFMO43,0,May 25 2017,Hardwood,35
Effigy Mounds,EFMO43,0,May 25 2017,Total,35
Effigy Mounds,EFMO43,1,Jun  2 2013,Hardwood,26
Effigy Mounds,EFMO43,1,May 24 2022,Hardwood,35.6
Effigy Mounds,EFMO43,1,May 30 2009,Hardwood,25.8
Effigy Mounds,EFMO44,0,May 25 2017,Hardwood,15.5
Effigy Mounds,EFMO44,0,May 25 2017,Total,15.5
Effigy Mounds,EFMO44,1,Jun  2 2013,Hardwood,11
Effigy Mounds,EFMO44,1,May 24 2022,Hardwood,13
Effigy Mounds,EFMO44,1,May 30 2009,Hardwood,24.5
Effigy Mounds,EFMO45,0,May 25 2017,Hardwood,6
Effigy Mounds,EFMO45,0,May 25 2017,Total,6
Effigy Mounds,EFMO45,1,Jun  2 2013,Hardwood,2
Effigy Mounds,EFMO45,1,May 23 2022,Hardwood,7.7
Effigy Mounds,EFMO45,1,May 30 2009,Hardwood,17.2
Effigy Mounds,EFMO46,0,May 25 2017,Hardwood,26.5
Effigy Mounds,EFMO46,0,May 25 2017,Total,26.5
Effigy Mounds,EFMO46,1,Jun  2 2013,Hardwood,33
Effigy Mounds,EFMO46,1,May 23 2022,Hardwood,40.8
Effigy Mounds,EFMO46,1,May 30 2009,Hardwood,18.3
Effigy Mounds,EFMO47,0,May 25 2017,Hardwood,20
Effigy Mounds,EFMO47,0,May 25 2017,Total,20
Effigy Mounds,EFMO47,1,Jun  2 2013,Hardwood,32
Effigy Mounds,EFMO47,1,May 23 2022,Hardwood,30
Effigy Mounds,EFMO47,1,May 30 2009,Hardwood,21.2
Effigy Mounds,EFMO5,0,May 24 2017,Hardwood,23.5
Effigy Mounds,EFMO5,1,Jun  1 2009,Hardwood,18.6
Effigy Mounds,EFMO5,1,May 26 2022,Hardwood,27.2
Effigy Mounds,EFMO5,1,May 31 2013,Hardwood,22
Effigy Mounds,EFMO52,1,May 30 2009,Hardwood,39.6
Effigy Mounds,EFMO6,0,May 24 2017,Hardwood,28
Effigy Mounds,EFMO6,0,May 24 2017,Total,28
Effigy Mounds,EFMO8,0,May 24 2017,Hardwood,6.5
Effigy Mounds,EFMO8,0,May 24 2017,Total,6.5
Effigy Mounds,EFMO8,1,May 25 2022,Hardwood,36.5
Effigy Mounds,EFMO8,1,May 29 2009,Hardwood,16.6
Effigy Mounds,EFMO8,1,May 29 2013,Hardwood,26
Effigy Mounds,EFMO9,0,May 24 2017,Hardwood,27.5
Effigy Mounds,EFMO9,0,May 24 2017,Total,27.5
Effigy Mounds,EFMO9,1,May 25 2022,Hardwood,29.3
Effigy Mounds,EFMO9,1,May 29 2009,Hardwood,31.6
Effigy Mounds,EFMO9,1,May 29 2013,Hardwood,21
George Washington Carver,GWCA1,1,Jun  6 2012,Hardwood,12.1
George Washington Carver,GWCA1,1,Jun 12 2020,Hardwood,16
George Washington Carver,GWCA1,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA1,1,May 18 2016,Hardwood,17
George Washington Carver,GWCA1,1,May 18 2016,Conifer,0
George Washington Carver,GWCA1,1,May 18 2016,Total,17
George Washington Carver,GWCA1,1,May 28 2008,Hardwood,11.9
George Washington Carver,GWCA10,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA10,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA10,1,May 18 2016,Total,0
George Washington Carver,GWCA11,1,Jun  6 2012,Hardwood,12.7
George Washington Carver,GWCA11,1,Jun 12 2020,Hardwood,9.5
George Washington Carver,GWCA11,1,Jun 12 2020,Conifer,2
George Washington Carver,GWCA11,1,May 18 2016,Hardwood,24
George Washington Carver,GWCA11,1,May 18 2016,Total,24
George Washington Carver,GWCA11,1,May 28 2008,Hardwood,10.5
George Washington Carver,GWCA12,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA12,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA12,1,May 18 2016,Total,0
George Washington Carver,GWCA13,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA13,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA13,1,May 18 2016,Total,0
George Washington Carver,GWCA14,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA14,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA14,1,May 18 2016,Total,0
George Washington Carver,GWCA15,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA15,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA15,1,May 18 2016,Total,0
George Washington Carver,GWCA16,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA16,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA16,1,May 18 2016,Total,0
George Washington Carver,GWCA17,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA17,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA17,1,May 18 2016,Total,0
George Washington Carver,GWCA18,1,Jun  5 2012,Hardwood,17.4
George Washington Carver,GWCA18,1,Jun 12 2020,Hardwood,17.5
