ID,TaxonCode,TSN,ScientificName,Family,CommonName,IsProvisional,IsValid,ValidTaxon,DateCreated,AOUCode
73,COME,175185,Mergus merganser,Anatidae,common merganser,0,0,NULL,2015-06-08 16:33:00.6870000,NULL
74,COMO,176284,Gallinula chloropus,Rallidae,common moorhen,0,1,NULL,2015-06-08 16:33:00.7170000,NULL
75,CONI,177979,Chordeiles minor,Caprimulgidae,common nighthawk,0,1,NULL,2015-06-08 16:33:00.7570000,NULL
76,COSN,176700,Gallinago gallinago,Scolopacidae,common snipe,0,1,NULL,2015-06-08 16:33:00.7900000,NULL
77,COYE,178944,Geothlypis trichas,Parulidae,common yellowthroat,0,1,NULL,2015-06-08 16:33:00.8130000,NULL
78,CSWA,950040,Setophaga pensylvanica,Parulidae,chestnut-sided warbler,0,0,NULL,2015-06-08 16:33:00.8370000,NULL
79,CWWI,1077350,Antrostomus carolinensis,Caprimulgidae,chuck-will's-widow,0,0,NULL,2015-06-08 16:33:00.8570000,NULL
80,DCCO,174717,Phalacrocorax auritus,Phalacrocoracidae,double-crested cormorant,0,0,NULL,2015-06-08 16:33:00.8730000,NULL
81,DICK,179165,Spiza americana,Cardinalidae,dickcissel,0,1,NULL,2015-06-08 16:33:00.9100000,NULL
82,DOWO,1145276,Dryobates pubescens,Picidae,downy woodpecker,0,1,NULL,2015-06-08 16:33:00.9300000,NULL
83,DUNL,176661,Calidris alpina,Scolopacidae,dunlin,0,0,NULL,2015-06-08 16:33:00.9500000,NULL
84,EABL,179801,Sialia sialis,Turdidae,eastern bluebird,0,1,NULL,2015-06-08 16:33:00.9700000,NULL
85,EAGR,174485,Podiceps nigricollis,Podicipedidae,eared grebe,0,0,NULL,2015-06-08 16:33:00.9930000,NULL
86,EAKI,178279,Tyrannus tyrannus,Tyrannidae,eastern kingbird,0,1,NULL,2015-06-08 16:33:01.0100000,NULL
87,EAME,179034,Sturnella magna,Icteridae,eastern meadowlark,0,1,NULL,2015-06-08 16:33:01.0300000,NULL
88,EAPH,178329,Sayornis phoebe,Tyrannidae,eastern phoebe,0,1,NULL,2015-06-08 16:33:01.0500000,NULL
89,EASO,686658,Megascops asio,Strigidae,eastern screech-owl,0,1,NULL,2015-06-08 16:33:01.0870000,NULL
90,EATO,179276,Pipilo erythrophthalmus,Emberizidae,"rufous-sided towhee, eastern towhee",0,1,NULL,2015-06-08 16:33:01.1170000,NULL
91,EAWP,178359,Contopus virens,Tyrannidae,eastern wood-pewee,0,1,NULL,2015-06-08 16:33:01.1400000,NULL
92,EUCD,177139,Streptopelia decaocto,Columbidae,eurasian collared-dove,0,0,NULL,2015-06-08 16:33:01.1730000,NULL
93,EUST,179637,Sturnus vulgaris,Sturnidae,european starling,0,1,NULL,2015-06-08 16:33:01.1970000,NULL
94,FICR,179737,Corvus ossifragus,Corvidae,fish crow,0,0,NULL,2015-06-08 16:33:01.2200000,NULL
95,FISP,179443,Spizella pusilla,Emberizidae,field sparrow,0,1,NULL,2015-06-08 16:33:01.2500000,NULL
96,FOSP,179464,Passerella iliaca,Emberizidae,fox sparrow,0,0,NULL,2015-06-08 16:33:01.2730000,NULL
97,FOTE,176887,Sterna forsteri,Laridae,forster's tern,0,0,NULL,2015-06-08 16:33:01.2970000,NULL
98,GADW,175073,Anas strepera,Anatidae,gadwall,0,0,NULL,2015-06-08 16:33:01.3200000,NULL
99,GBHE,174773,Ardea herodias,Ardeidae,great blue heron,0,1,NULL,2015-06-08 16:33:01.3400000,NULL
100,GCFL,178309,Myiarchus crinitus,Tyrannidae,great crested flycatcher,0,1,NULL,2015-06-08 16:33:01.3630000,NULL
101,GCKI,179865,Regulus satrapa,Regulidae,golden-crowned kinglet,0,0,NULL,2015-06-08 16:33:01.3800000,NULL
102,GCTH,179793,Catharus minimus,Turdidae,gray-cheeked thrush,0,0,NULL,2015-06-08 16:33:01.4000000,NULL
103,GHOW,177884,Bubo virginianus,Strigidae,great horned owl,0,1,NULL,2015-06-08 16:33:01.4200000,NULL
104,GLIB,174924,Plegadis falcinellus,Threskiornithidae,glossy ibis,0,0,NULL,2015-06-08 16:33:01.4400000,NULL
105,GOEA,175407,Aquila chrysaetos,Accipitridae,golden eagle,0,1,NULL,2015-06-08 16:33:01.4570000,NULL
106,GRPC,175834,Tympanuchus cupido,Phasianidae,greater prairie-chicken,0,1,NULL,2015-06-08 16:33:01.4830000,NULL
107,GRCA,178625,Dumetella carolinensis,Mimidae,gray catbird,0,1,NULL,2015-06-08 16:33:01.5070000,NULL
108,GREG,554135,Ardea alba,Ardeidae,great egret,0,0,NULL,2015-06-08 16:33:01.5300000,NULL
109,GRHE,174793,Butorides virescens,Ardeidae,green (green-backed) heron,0,0,NULL,2015-06-08 16:33:01.5500000,NULL
110,GRAP,175915,Perdix perdix,Phasianidae,gray partridge,0,0,NULL,2015-06-08 16:33:01.5800000,NULL
111,GRRO,177836,Geococcyx californianus,Cuculidae,greater roadrunner,0,0,NULL,2015-06-08 16:33:01.6070000,NULL
112,GRSP,179333,Ammodramus savannarum,Emberizidae,grasshopper sparrow,0,1,NULL,2015-06-08 16:33:01.9070000,NULL
113,GTGR,179109,Quiscalus mexicanus,Icteridae,great-tailed grackle,0,1,NULL,2015-06-08 16:33:01.9400000,NULL
114,GWWA,178852,Vermivora chrysoptera,Parulidae,golden-winged warbler,0,0,NULL,2015-06-08 16:33:01.9600000,NULL
115,HAWO,1145285,Leuconotopicus villosus,Picidae,hairy woodpecker,0,1,NULL,2015-06-08 16:33:01.9870000,NULL
116,HESP,179340,Ammodramus henslowii,Emberizidae,henslow's sparrow,0,1,NULL,2015-06-08 16:33:02.0030000,NULL
117,HETH,179779,Catharus guttatus,Turdidae,hermit thrush,0,0,NULL,2015-06-08 16:33:02.0230000,NULL
118,HOFI,997805,Haemorhous mexicanus,Fringillidae,house finch,0,1,NULL,2015-06-08 16:33:02.0430000,NULL
119,HOLA,554256,Eremophila alpestris,Alaudidae,horned lark,0,1,NULL,2015-06-08 16:33:02.0600000,NULL
120,HOME,175183,Lophodytes cucullatus,Anatidae,hooded merganser,0,0,NULL,2015-06-08 16:33:02.0770000,NULL
121,HOSP,179628,Passer domesticus,Passeridae,house sparrow,0,1,NULL,2015-06-08 16:33:02.1000000,NULL
122,HOWA,950029,Setophaga citrina,Parulidae,hooded warbler,0,0,NULL,2015-06-08 16:33:02.1200000,NULL
123,HOWR,178541,Troglodytes aedon,Troglodytidae,house wren,0,1,NULL,2015-06-08 16:33:02.1530000,NULL
124,INBU,179150,Passerina cyanea,Cardinalidae,indigo bunting,0,1,NULL,2015-06-08 16:33:02.1730000,NULL
125,KEWA,950025,Geothlypis formosa,Parulidae,kentucky warbler,0,1,NULL,2015-06-08 16:33:02.1930000,NULL
126,KILL,176520,Charadrius vociferus,Charadriidae,killdeer,0,1,NULL,2015-06-08 16:33:02.2130000,NULL
127,KIRA,176207,Rallus elegans,Rallidae,king rail,0,0,NULL,2015-06-08 16:33:02.2330000,NULL
128,LALO,179526,Calcarius lapponicus,Calcariidae,lapland Longspur,0,0,NULL,2015-06-08 16:33:02.2530000,NULL
129,LARB,179312,Calamospiza melanocorys,Emberizidae,lark bunting,0,1,NULL,2015-06-08 16:33:02.2730000,NULL
130,LASP,179371,Chondestes grammacus,Emberizidae,lark sparrow,0,1,NULL,2015-06-08 16:33:02.2900000,NULL
131,LAZB,179151,Passerina amoena,Cardinalidae,lazuli bunting,0,1,NULL,2015-06-08 16:33:02.3100000,NULL
132,LBHE,174827,Egretta caerulea,Ardeidae,little blue heron,0,0,NULL,2015-06-08 16:33:02.3330000,NULL
133,LEBI,174846,Ixobrychus exilis,Ardeidae,least bittern,0,0,NULL,2015-06-08 16:33:02.3630000,NULL
134,LEFL,178344,Empidonax minimus,Tyrannidae,least flycatcher,0,0,NULL,2015-06-08 16:33:02.3830000,NULL
135,LEOW,177932,Asio otus,Strigidae,long-eared owl,0,0,NULL,2015-06-08 16:33:02.4030000,NULL
136,LESC,175134,Aythya affinis,Anatidae,lesser scaup,0,0,NULL,2015-06-08 16:33:02.4230000,NULL
137,LETE,824127,Sternula antillarum,Laridae,least tern,0,0,NULL,2015-06-08 16:33:02.4400000,NULL
138,LISP,179484,Melospiza lincolnii,Emberizidae,lincoln's sparrow,0,0,NULL,2015-06-08 16:33:02.4700000,NULL
139,LOSH,178515,Lanius ludovicianus,Laniidae,loggerhead shrike,0,1,NULL,2015-06-08 16:33:02.4930000,NULL
140,LOWA,950009,Parkesia motacilla,Parulidae,louisiana waterthrush,0,0,NULL,2015-06-08 16:33:02.5170000,NULL
141,MALL,175063,Anas platyrhynchos,Anatidae,mallard,0,1,NULL,2015-06-08 16:33:02.5430000,NULL
142,MAWA,950035,Setophaga magnolia,Parulidae,magnolia warbler,0,1,NULL,2015-06-08 16:33:02.5600000,NULL
143,MAWR,178608,Cistothorus palustris,Troglodytidae,marsh wren,0,1,NULL,2015-06-08 16:33:02.5800000,NULL
144,MIKI,554268,Ictinia mississippiensis,Accipitridae,mississippi kite,0,1,NULL,2015-06-08 16:33:02.6130000,NULL
145,MOBL,179811,Sialia currucoides,Turdidae,mountain bluebird,0,1,NULL,2015-06-08 16:33:02.6330000,NULL
146,MODO,177125,Zenaida macroura,Columbidae,mourning dove,0,1,NULL,2015-06-08 16:33:02.6530000,NULL
148,NAWA,950018,Leiothlypis ruficapilla,Parulidae,nashville warbler,0,0,NULL,2015-06-08 16:33:02.6970000,NULL
149,NOBO,175863,Colinus virginianus,Odontophoridae,northern bobwhite,0,1,NULL,2015-06-08 16:33:02.7200000,NULL
150,NOCA,179124,Cardinalis cardinalis,Cardinalidae,northern cardinal,0,1,NULL,2015-06-08 16:33:02.7370000,NULL
151,NOHA,175430,Circus cyaneus,Accipitridae,northern harrier,0,1,NULL,2015-06-08 16:33:03.0300000,NULL
152,NOMO,178620,Mimus polyglottos,Mimidae,northern mockingbird,0,1,NULL,2015-06-08 16:33:03.0500000,NULL
153,NOPA,950033,Setophaga americana,Parulidae,northern parula,0,1,NULL,2015-06-08 16:33:03.0730000,NULL
154,NOPI,175074,Anas acuta,Anatidae,northern pintail,0,0,NULL,2015-06-08 16:33:03.0930000,NULL
155,NOWA,950010,Parkesia noveboracensis,Parulidae,northern waterthrush,0,0,NULL,2015-06-08 16:33:03.1270000,NULL
