AOUCode,TSN,CommonName,ScientificName,Family
RWBL,179045,red-winged blackbird,Agelaius phoeniceus,Icteridae
SAPH,178333,say's phoebe,Sayornis saya,Tyrannidae
SAVS,179314,savannah sparrow,Passerculus sandwichensis,Emberizidae
SCTA,179883,scarlet tanager,Piranga olivacea,Cardinalidae
SESA,176667,semipalmated sandpiper,Calidris pusilla,Scolopacidae
SEWR,178605,sedge wren,Cistothorus platensis,Troglodytidae
SNEG,174813,snowy egret,Egretta thula,Ardeidae
SORA,176242,sora,Porzana carolina,Rallidae
SOSA,176615,solitary sandpiper,Tringa solitaria,Scolopacidae
SOSP,179492,song sparrow,Melospiza melodia,Emberizidae
SPSA,726049,spotted sandpiper,Actitis macularius,Scolopacidae
SPTO,554380,spotted (rufous-side) towhee,Pipilo maculatus,Emberizidae
SSHA,175304,sharp-shinned hawk,Accipiter striatus,Accipitridae
STFL,178293,scissor-tailed flycatcher,Tyrannus forficatus,Tyrannidae
STGR,175841,sharp-tailed grouse,Tympanuchus phasianellus,Phasianidae
SUTA,179888,summer tanager,Piranga rubra,Cardinalidae
SWHA,175367,swainson's hawk,Buteo swainsoni,Accipitridae
SWSP,179488,swamp sparrow,Melospiza georgiana,Emberizidae
SWTH,179788,swainson's thrush,Catharus ustulatus,Turdidae
TEWA,950014,tennessee warbler,Leiothlypis peregrina,Parulidae
TRES,178431,tree swallow,Tachycineta bicolor,Hirundinidae
TUTI,554138,tufted titmouse,Baeolophus bicolor,Paridae
TUVU,175265,turkey vulture,Cathartes aura,Cathartidae
UNBI,NULL,Unidentified bird,Unidentified bird,NULL
UNFL,178277,Unidentified flycatcher,Unidentified flycatcher,Tyrannidae
UNME,179030,Unidentified meadowlark,Unidentified meadowlark,Icteridae
UNSP,178838,Unidentified sparrow,Unidentified sparrow,Emberizidae
UNSW,178423,Unidentified swallow,Unidentified swallow,Hirundinidae
UNVI,178988,Unidentified vireo,Unidentified vireo,Vireonidae
UNWA,178842,Unidentified warbler,Unidentified warbler,Parulidae
UNWO,178148,Unidentified woodpecker,Unidentified woodpecker,Picidae
UNWR,178539,Unidentified wren,Unidentified wren,Troglodytidae
UPSA,176610,upland sandpiper,Bartramia longicauda,Scolopacidae
VEER,179796,veery,Catharus fuscescens,Turdidae
VESP,179366,vesper sparrow,Pooecetes gramineus,Emberizidae
WAVI,179023,warbling vireo,Vireo gilvus,Vireonidae
WBNU,178775,white-breasted nuthatch,Sitta carolinensis,Sittidae
WCSP,179455,white-crowned sparrow,Zonotrichia leucophrys,Emberizidae
WEKI,178287,western kingbird,Tyrannus verticalis,Tyrannidae
WEME,179039,western meadowlark,Sturnella neglecta,Icteridae
WEVI,178991,white-eyed vireo,Vireo griseus,Vireonidae
WEWA,726195,worm-eating warbler,Helmitheros vermivorum,Parulidae
